52 files remain above 30% comment density

comments  ratio  ver  file
     670  34.1%   16  ./archive/handrolled-verifier/c2pa.ts
     373  30.9%   39  ./src/provenance/attest.ts
     337  30.9%   27  ./src/provenance/sealQueue.ts
     305  35.3%   14  ./src/vault/vaultFs.ts
     242  46.9%   13  ./src/provenance/manifest.ts
     241  31.1%    0  ./desk/stereo/match.ts
     188  59.7%    1  ./desk/src/contracts-ext.ts
     123  33.3%    0  ./desk/src/core/enfExtract.ts
     122  33.5%    2  ./src/lib/ots.ts
     122  33.0%    0  ./desk/src/core/caseFile.ts
     121  45.1%   17  ./src/store/useStore.ts
     111  33.1%    0  ./desk/stereo/planarity.ts
     107  39.8%    0  ./src/disclosure/burn.ts
     106  67.9%    1  ./desk/stereo/types.ts
      97  46.4%    0  ./src/disclosure/captureCommit.ts
      90  38.5%    0  ./src/provenance/engine/policyLayer.ts
      90  30.1%    0  ./desk/src/core/displayBeat.ts
      89  30.5%    1  ./src/lib/roster.ts
      87  32.3%    1  ./src/lib/proofBundle.ts
      86  35.4%    6  ./src/lib/appAttest.ts
      77  33.5%    0  ./src/lib/rfc3161.ts
      76  30.5%    0  ./desk/src/core/avSync.ts
      71  33.6%    0  ./src/disclosure/inventory.ts
      70  32.9%    0  ./archive/handrolled-verifier/verifyAppAttest.ts
      67  36.8%    0  ./src/disclosure/ladder.ts
      58  37.7%    0  ./src/lib/seal.ts
      57  57.6%    1  ./desk/src/contracts.ts
      57  33.7%    0  ./desk/src/workers/hashWorker.ts

total comment lines in these 52 files: 5174
